STA;INB;UTB;MÅL;SPM;STM;FRM;HÖM;PAS;POÄ;VAR;UTV;OFF;ORS;TIS;ORF;TIF;SKO;SKM;SKS;Team;First name;Last name
26;0;3;6;4;1;0;0;9;15;5;0;5;0;0;29;32;34;23;3;AIK;Celso;Borges
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Lee;Baxter
22;1;4;2;2;0;0;0;4;6;8;0;1;0;0;46;21;25;6;0;AIK;Ibrahim;Moro
5;7;3;1;1;0;0;0;1;2;0;0;3;0;0;5;12;12;8;0;AIK;Sam;Lundholm
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Teteh;Bangura
9;5;8;6;4;0;0;0;1;7;1;0;5;0;0;15;7;25;13;0;AIK;Eero;Markkanen
22;1;12;1;1;0;0;0;4;5;4;0;0;0;0;21;14;30;9;0;AIK;Ebenezer;Ofori
4;2;1;0;0;0;0;0;0;0;0;1;0;0;0;6;3;2;1;0;AIK;Sauli;Väisänen
5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;6;16;6;4;0;AIK;Panajotis;Dimitriadis
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;AIK;Patrik;Carlgren
1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;AIK;Lalawele;Atakora
0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;0;AIK;Kwame;Karikari
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Edward;Owusu
27;1;10;12;11;0;0;0;4;16;2;0;21;0;0;24;34;67;43;1;AIK;Henok;Goitom
3;12;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2;1;0;AIK;Anton;Salétros
0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;AIK;Marko;Nikolic
8;2;2;1;1;0;0;0;3;4;1;0;0;0;0;12;9;27;11;0;AIK;Robin;Quaison
4;1;0;1;0;0;0;0;0;1;1;0;0;0;0;4;1;1;1;0;AIK;Noah;Sonko-Sundberg
1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;AIK;Gabriel;Ferreyra
6;10;6;1;1;0;0;0;0;1;0;0;1;0;0;1;13;9;5;0;AIK;Niclas;Eliasson
26;0;0;0;0;0;0;0;1;1;2;1;0;0;0;18;15;1;0;0;AIK;Per;Karlsson
8;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;AIK;Kyriakos;Stamatopoulos
6;13;5;1;0;0;0;0;2;3;6;0;4;0;0;20;6;10;2;0;AIK;Kenny;Pavey
27;0;0;2;1;0;0;0;3;5;6;0;2;1;0;33;26;13;6;0;AIK;Nils-Eric;Johansson
28;0;8;3;1;0;0;0;2;5;2;0;1;1;0;18;14;14;9;0;AIK;Martin;Lorentzson
26;0;3;14;11;0;1;0;7;21;4;0;4;0;1;36;30;90;49;2;AIK;Nabil;Bahoui
17;9;11;5;5;0;0;0;3;8;0;0;17;0;0;14;30;58;22;2;AIK;Kennedy;Igboananike
27;0;1;3;1;0;0;0;2;5;3;0;0;0;0;26;14;16;6;0;AIK;Alexander;Milosevic
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Nicklas;Maripuu
25;1;7;7;5;2;0;0;7;14;6;0;2;0;0;38;26;28;15;2;BK Häcken;Martin;Ericsson
23;1;1;1;1;0;0;0;3;4;3;0;1;0;0;25;14;11;6;0;BK Häcken;David;Frölund
1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;BK Häcken;Fredrik;Björck
30;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;5;0;0;0;BK Häcken;Christoffer;Källqvist
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Hosam;Aiesh
11;10;7;3;3;0;0;0;3;6;1;0;0;0;0;9;15;11;6;0;BK Häcken;Samuel;Gustafson
26;2;6;10;10;0;0;0;5;15;7;0;5;0;0;28;49;67;34;3;BK Häcken;Simon;Gustafson
4;15;3;6;5;0;0;0;5;11;0;0;11;0;0;9;8;26;14;2;BK Häcken;Carlos;Strandberg
8;9;7;3;3;0;0;0;1;4;1;0;11;0;0;15;15;25;16;1;BK Häcken;Alexander;Jeremejeff
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Sula;Matovu
16;8;8;8;8;0;0;0;3;11;1;0;9;0;1;10;21;32;12;1;BK Häcken;Nasiru;Mohammed
0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Sebastian;Ohlsson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Egzon;Binak
24;1;5;1;1;0;0;0;5;6;0;0;1;0;0;25;17;10;3;0;BK Häcken;Kari;Arkivuo
0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;BK Häcken;Ronald;Mukiibi
27;0;5;0;0;0;0;0;2;2;6;0;2;0;0;44;26;17;2;1;BK Häcken;Oscar;Lewicki
13;6;0;0;0;0;0;0;1;1;3;1;1;0;0;13;7;3;3;0;BK Häcken;Leonard;Zuta
9;1;8;7;7;0;0;0;1;8;4;0;12;0;1;12;15;23;13;0;BK Häcken;Moestafa;El-Kabir
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Augustine;Okrah
13;2;0;0;0;0;0;0;0;0;1;0;0;0;0;7;4;0;0;0;BK Häcken;Simon;Sandberg
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Richard;Donkor
14;11;7;3;3;0;0;0;2;5;1;0;8;0;0;9;8;23;12;1;BK Häcken;Björn;Anklev
24;2;8;7;5;0;0;0;1;8;3;0;15;0;0;24;13;36;23;0;BK Häcken;René;Makondele
9;4;8;2;2;0;0;0;3;5;0;0;4;0;0;6;7;17;8;1;BK Häcken;Gunnar;Thorvaldsson
20;0;1;0;0;0;0;0;0;0;2;0;0;1;0;16;17;6;1;1;BK Häcken;Emil;Wahlström
26;0;2;0;0;0;0;0;1;1;3;1;1;0;0;13;8;13;4;0;BK Häcken;Walid;Atta
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BK Häcken;Peter;Abrahamsson
7;6;6;0;0;0;0;0;2;2;1;0;0;0;0;19;4;2;0;0;BK Häcken;Ivo;Pekalski
11;2;0;9;6;2;0;0;1;10;2;0;6;0;1;12;11;49;23;1;Djurgårdens IF;Erton;Fejzullahu
13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;8;8;2;0;Djurgårdens IF;Fredrik;Stenman
3;1;1;0;0;0;0;0;0;0;1;0;0;1;0;3;0;2;1;0;Djurgårdens IF;Mattias;Östberg
14;7;6;1;1;0;0;0;1;2;1;0;0;0;0;19;9;13;6;0;Djurgårdens IF;Andreas;Johansson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Eric;Dahlgren
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;Djurgårdens IF;Kenneth;Høie
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Tim;Söderström
11;0;1;0;0;0;0;0;0;0;2;0;0;0;0;8;8;5;1;0;Djurgårdens IF;Daniel;Amartey
14;0;1;0;0;0;0;0;0;0;1;0;0;0;0;13;8;4;2;0;Djurgårdens IF;Vytautas;Andriuskevicius
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Frej;Engberg
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Jakob;Glasberg
2;13;1;1;1;0;0;0;2;3;1;0;0;0;0;3;7;8;5;0;Djurgårdens IF;Mark;Mayambela
9;8;4;5;4;0;0;0;1;6;0;0;12;0;0;18;8;33;12;1;Djurgårdens IF;Aleksandar;Prijovic
0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;0;Djurgårdens IF;Christian;Sivodedov
11;2;5;6;3;0;0;0;0;6;1;0;6;0;0;11;12;37;21;1;Djurgårdens IF;Sebastian;Andersson
5;5;2;0;0;0;0;0;0;0;1;1;0;0;0;12;7;5;1;0;Djurgårdens IF;Yussif;Chibsah
26;0;5;2;1;0;1;0;0;2;3;2;1;0;0;23;20;32;14;0;Djurgårdens IF;Alexander;Faltsetas
21;6;16;4;4;0;0;0;3;7;1;0;2;0;0;30;21;37;14;1;Djurgårdens IF;Martin;Broberg
30;0;2;0;0;0;0;0;9;9;1;0;1;0;0;22;19;4;2;0;Djurgårdens IF;Stefan;Karlsson
30;0;0;2;0;0;0;1;1;3;0;0;0;0;0;5;9;18;9;1;Djurgårdens IF;Emil;Bergström
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Philip;Sparrdal-Mantilla
30;0;2;1;1;0;0;0;4;5;1;0;2;0;0;13;44;46;21;1;Djurgårdens IF;Simon;Tibbling
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Xolani;Mdaki
19;1;3;1;0;0;1;0;1;2;5;0;0;0;0;14;19;10;3;1;Djurgårdens IF;Jesper;Arvidsson
21;3;7;6;5;0;0;0;6;12;2;0;2;0;0;25;31;55;25;0;Djurgårdens IF;Haris;Radetinac
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgårdens IF;Hampus;Nilsson
27;2;13;6;5;0;0;0;3;9;0;0;28;0;2;34;72;41;25;0;Djurgårdens IF;Amadou;Jawo
3;15;2;2;1;0;0;0;0;2;0;0;1;0;0;6;3;9;6;0;Djurgårdens IF;Philip;Hellquist
29;1;6;5;4;1;0;0;5;10;2;0;0;0;0;28;24;41;17;1;Falkenbergs FF;Anton;Wede
27;3;18;7;4;1;0;0;2;9;0;0;12;0;0;25;28;35;21;0;Falkenbergs FF;Stefan;Rodevåg
11;5;8;4;4;0;0;0;0;4;4;0;13;0;0;11;7;24;11;2;Falkenbergs FF;Godsway;Donyoh
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Johan;Marting
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Hampus;Svensson
3;4;1;0;0;0;0;0;0;0;0;0;3;0;0;8;10;3;0;0;Falkenbergs FF;Andrés;Thorleifsson
3;19;3;4;4;0;0;0;0;4;1;0;6;0;0;12;6;13;11;0;Falkenbergs FF;Johannes;Vall
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Matteo;Blomqvist-Zampi
27;2;6;1;0;0;1;0;5;6;2;1;7;0;1;15;41;44;15;2;Falkenbergs FF;Carl;Wede
25;2;1;0;0;0;0;0;1;1;2;0;0;0;0;11;16;2;2;0;Falkenbergs FF;Rasmus;Sjöstedt
0;13;0;2;2;0;0;0;1;3;0;0;2;0;0;1;6;4;3;0;Falkenbergs FF;Carl-Oskar;Andersson
27;0;0;2;1;0;0;0;0;2;7;0;1;1;0;27;14;12;3;0;Falkenbergs FF;Tobias;Karlsson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Zlatan;Krizanovic
27;0;0;0;0;0;0;0;4;4;0;0;1;0;0;7;16;11;8;0;Falkenbergs FF;Adam;Eriksson
0;5;0;1;1;0;0;0;0;1;0;0;0;0;0;2;2;1;1;0;Falkenbergs FF;Gustaf;Nilsson
7;4;4;0;0;0;0;0;2;2;1;0;5;0;0;9;4;10;6;0;Falkenbergs FF;Halldor;Björnsson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Junaid;Sait
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Arben;Ajdarevic
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Rasmus;Andersson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Felix;Johansson
6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;3;0;0;Falkenbergs FF;Per;Karlsson
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;Falkenbergs FF;Otto;Martler
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Johan;Brattberg
20;6;3;4;1;0;0;0;0;4;5;0;3;0;0;29;18;35;14;1;Falkenbergs FF;Daniel;Keat
14;1;11;5;3;0;0;0;2;7;0;0;9;0;1;10;22;19;11;0;Falkenbergs FF;Patrik;Ingelsten
23;3;7;1;1;0;0;0;0;1;5;0;2;0;0;40;25;12;4;1;Falkenbergs FF;David;Svensson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Rasmus;Rydén
16;5;10;0;0;0;0;0;2;2;3;0;6;0;0;19;34;9;2;1;Falkenbergs FF;Christoffer;Carlsson
30;0;0;1;0;0;0;0;0;1;1;0;0;1;0;13;16;9;2;0;Falkenbergs FF;Daniel;Johansson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenbergs FF;Johan;Svahn
19;5;4;5;1;2;0;0;1;6;1;0;3;0;0;9;24;20;9;0;IFK Göteborg;May;Mahlangu
18;0;5;2;1;1;0;0;5;7;2;0;1;0;0;18;26;23;6;0;IFK Göteborg;Sam;Larsson
19;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;IFK Göteborg;John;Alvbåge
15;1;1;0;0;0;0;0;2;2;3;0;1;1;0;13;19;2;1;0;IFK Göteborg;Adam;Johansson
19;0;1;1;0;0;0;0;0;1;2;2;0;0;0;26;3;9;7;0;IFK Göteborg;Kjetil;Wæhler
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;IFK Göteborg;Karl;Bohm
13;7;9;8;7;0;0;0;2;10;0;0;3;0;1;18;18;25;18;1;IFK Göteborg;Gustav;Engvall
2;6;1;0;0;0;0;0;2;2;0;0;0;0;0;4;2;5;1;0;IFK Göteborg;Daniel;Sobralense
5;16;4;0;0;0;0;0;0;0;0;0;1;0;0;3;6;2;0;0;IFK Göteborg;Joel;Allansson
28;0;0;1;1;0;0;0;3;4;3;0;1;0;1;17;33;16;9;0;IFK Göteborg;Ludwig;Augustinsson
0;3;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;IFK Göteborg;Darijan;Bojanic
0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;IFK Göteborg;Hampus;Zackrisson
6;5;5;1;1;0;0;0;0;1;1;0;9;0;0;6;7;16;6;1;IFK Göteborg;Malick;Mané
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;IFK Göteborg;Jonathan;Azulay
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;IFK Göteborg;Patrick;Dyrestam
25;1;10;23;21;0;0;0;6;29;2;0;16;0;0;25;40;95;60;1;IFK Göteborg;Lasse;Vibe
11;1;6;2;2;0;0;0;2;4;0;0;2;0;0;13;11;21;6;1;IFK Göteborg;Søren;Rieks
0;5;0;2;2;0;0;0;0;2;0;0;1;0;0;0;0;4;3;0;IFK Göteborg;Kenneth;Zohore
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;IFK Göteborg;Sulejmen;Sarajlic
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;IFK Göteborg;Diego;Calvo
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;1;1;0;IFK Göteborg;Hjalmar;Jonsson
17;5;13;2;2;0;0;0;4;6;3;0;2;1;0;13;3;8;6;0;IFK Göteborg;Martin;Smedberg-Dalence
30;0;0;0;0;0;0;0;0;0;2;0;2;1;0;22;16;4;1;0;IFK Göteborg;Mattias;Bjärsmyr
17;7;5;0;0;0;0;0;0;0;3;1;0;0;0;18;18;9;2;0;IFK Göteborg;Gustav;Svensson
3;4;1;0;0;0;0;0;1;1;1;0;0;0;0;5;6;4;1;0;IFK Göteborg;Philip;Haglund
27;0;3;4;4;0;0;0;4;8;3;0;0;0;1;37;37;36;18;2;IFK Göteborg;Jakob;Johansson
22;2;3;3;3;0;0;0;9;12;0;0;5;0;0;12;12;28;12;1;IFK Göteborg;Emil;Salomonsson
11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;IFK Göteborg;Marcus;Sandberg
15;4;8;2;1;0;0;0;3;5;2;0;3;0;1;25;23;34;19;0;IFK Göteborg;Robin;Söder
29;0;3;6;4;2;0;0;8;14;3;0;0;0;0;13;39;40;16;0;Gefle IF;Simon;Lundevall
21;5;14;8;3;2;0;0;4;12;2;0;14;0;1;46;26;53;29;3;Gefle IF;Johan;Oremo
7;3;1;1;1;0;0;0;0;1;2;0;0;0;0;9;10;1;1;0;Gefle IF;Skúli;Fridgeirsson
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gefle IF;Erik;Olsson
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gefle IF;Oscar;Karlsson
2;14;2;1;1;0;0;0;0;1;0;0;1;0;1;8;11;7;5;0;Gefle IF;Dardan;Mustafa
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gefle IF;Sive;Pekezela
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gefle IF;Jacob;Hjelte
26;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;Gefle IF;Emil;Hedvall
29;0;1;1;1;0;0;0;4;5;5;0;0;0;0;21;13;7;3;0;Gefle IF;Jens;Portin
10;1;2;0;0;0;0;0;1;1;0;0;0;0;0;6;5;1;0;0;Gefle IF;Jonas;Olsson
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gefle IF;Zakaria;Abdullai
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gefle IF;Oskar;Larsson
2;12;2;1;1;0;0;0;2;3;0;0;2;0;0;5;2;3;2;0;Gefle IF;Emil;Bellander
22;5;16;5;3;0;0;0;2;7;2;0;32;0;1;45;19;32;18;0;Gefle IF;Dioh;Williams
19;0;4;0;0;0;0;0;0;0;3;0;0;0;0;15;12;3;0;1;Gefle IF;Anders;Wikström
27;3;3;0;0;0;0;0;0;0;1;0;0;0;0;26;31;4;1;0;Gefle IF;Robin;Nilsson
27;1;3;3;1;0;0;0;0;3;2;0;5;0;1;22;46;36;19;0;Gefle IF;Jonas;Lantto
4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Gefle IF;Sasa;Sjanic
1;10;1;2;1;0;0;0;0;2;0;0;1;0;0;5;0;5;3;1;Gefle IF;Johan;Bertilsson
29;0;8;4;3;0;0;0;0;4;2;0;2;0;0;40;20;19;9;1;Gefle IF;Marcus;Hansson
20;5;4;2;2;0;0;0;1;3;2;0;0;0;0;19;18;19;10;0;Gefle IF;Anders;Bååth
21;3;3;0;0;0;0;0;1;1;1;0;1;1;0;12;16;3;2;0;Gefle IF;Jesper;Florén
5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;Gefle IF;Olof;Mård
29;0;0;0;0;0;0;0;0;0;1;0;0;0;0;15;22;2;0;0;Gefle IF;David;Fällman
23;2;4;17;15;2;0;0;4;21;3;0;31;0;2;32;50;73;40;0;Helsingborgs IF;David;Accam
21;3;7;1;0;0;1;0;3;4;0;0;3;0;0;11;13;17;10;0;Helsingborgs IF;Christoffer;Andersson
18;6;10;4;4;0;0;0;3;7;2;0;9;0;0;20;18;27;10;2;Helsingborgs IF;Mattias;Lindström
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Helsingborgs IF;Daniel;Andersson
4;5;4;1;1;0;0;0;1;2;1;0;0;0;0;4;3;7;4;0;Helsingborgs IF;Elias;Andersson
0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;Helsingborgs IF;Måns;Ekvall
